SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW ),Sum
20,DC:A6:32:33:AA:47,2020-07-09 16:16:03,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
21,DC:A6:32:33:AA:47,2020-07-09 16:16:05,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
22,DC:A6:32:33:AA:47,2020-07-09 16:16:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
23,DC:A6:32:33:AA:47,2020-07-09 16:16:06,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
24,DC:A6:32:33:AA:47,2020-07-09 16:16:08,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
25,DC:A6:32:33:AA:47,2020-07-09 16:16:10,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
26,DC:A6:32:33:AA:47,2020-07-09 16:16:12,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
27,DC:A6:32:33:AA:47,2020-07-09 16:16:13,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
28,DC:A6:32:33:AA:47,2020-07-09 16:16:15,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
29,DC:A6:32:33:AA:47,2020-07-09 16:16:17,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-45,0.0000316227766,
30,DC:A6:32:33:AA:47,2020-07-09 16:16:19,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-52,0.000006309573445,
31,DC:A6:32:33:AA:47,2020-07-09 16:16:20,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
32,DC:A6:32:33:AA:47,2020-07-09 16:16:21,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
33,DC:A6:32:33:AA:47,2020-07-09 16:16:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-42,0.00006309573445,
34,DC:A6:32:33:AA:47,2020-07-09 16:16:23,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
35,DC:A6:32:33:AA:47,2020-07-09 16:16:25,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
36,DC:A6:32:33:AA:47,2020-07-09 16:16:27,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-44,0.00003981071706,
37,DC:A6:32:33:AA:47,2020-07-09 16:16:29,6a4f71d8-c22a-11ea-9878-dca63233aa46,1,1,1,-53,0.000005011872336,
