SCAN,6ft,5ft,4ft,3ft,2ft,1ft,6ft(log),5ft(log),4ft(log),3ft(log),2ft(log),1ft(log)
62,0.0004066253141,0.0003034085783,0.003425224355,0.00003936339273,0.01414141196,0.02492073162,-33.90805588,-35.17972145,-24.65310977,-44.04907477,-18.49507226,-16.03439212
63,0.000414386402,0.0003049838705,0.003476239342,0.00003479286587,0.01428034322,0.02543769776,-33.82594504,-35.15723128,-24.5889033,-44.58509797,-18.45261354,-15.94522197
64,0.0004208391804,0.000308113574,0.003512073257,0.00002590955519,0.01448263554,0.02574965031,-33.75883834,-35.11289168,-24.54436434,-45.86540043,-18.39152398,-15.89228664
65,0.0004273083172,0.0003118358277,0.0035379397,0.0000495555754,0.01468358702,0.02591956341,-33.69258654,-35.06073989,-24.51249573,-43.04907477,-18.33167839,-15.86372318
66,0.0004329273292,0.0003134344603,0.003575857068,0.0000276269368,0.0149661168,0.02619544966,-33.63584998,-35.03853257,-24.46619849,-45.58667266,-18.2489087,-15.81774142
67,0.0004405718934,0.0003176772706,0.003641125325,0.00004522621275,0.01510504805,0.02646899049,-33.55983212,-34.98013857,-24.38764373,-43.44609779,-18.20877889,-15.77262622
68,0.0004464938495,0.0003275023772,0.003717402673,0.0000512728019,0.01530599953,0.02686388115,-33.50184519,-34.84785543,-24.29760393,-42.90112949,-18.15138304,-15.70831243
69,0.000454261705,0.0003321556729,0.003763239152,0.00002783309693,0.01559504866,0.0271726136,-33.42693873,-34.78658326,-24.24438182,-45.55438468,-18.07013266,-15.65868587
70,0.0004613408669,0.0003372324633,0.003802254144,0.0000382664438,0.01579600014,0.02749408956,-33.35978073,-34.72070625,-24.19958858,-44.17181896,-18.01452871,-15.60760657
71,0.0004682083793,0.0003393904327,0.00384527797,0.00004971945742,0.01593493139,0.0280975786,-33.29560818,-34.69300404,-24.1507226,-43.03473619,-17.97649802,-15.51331105
72,0.0004750315648,0.0003460633445,0.003876275381,0.00004934941527,0.01612830557,0.02853938486,-33.23277532,-34.60844399,-24.11585377,-43.06717989,-17.92411257,-15.44555392
