SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW) ,Total Sum
177,DC:A6:32:33:AA:47,2020-07-07 17:34:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
178,DC:A6:32:33:AA:47,2020-07-07 17:34:16,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
179,DC:A6:32:33:AA:47,2020-07-07 17:34:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
180,DC:A6:32:33:AA:47,2020-07-07 17:34:20,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
181,DC:A6:32:33:AA:47,2020-07-07 17:34:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
182,DC:A6:32:33:AA:47,2020-07-07 17:34:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
183,DC:A6:32:33:AA:47,2020-07-07 17:34:26,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
184,DC:A6:32:33:AA:47,2020-07-07 17:34:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
185,DC:A6:32:33:AA:47,2020-07-07 17:34:28,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
186,DC:A6:32:33:AA:47,2020-07-07 17:34:30,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
187,DC:A6:32:33:AA:47,2020-07-07 17:34:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
188,DC:A6:32:33:AA:47,2020-07-07 17:34:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
189,DC:A6:32:33:AA:47,2020-07-07 17:34:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
190,DC:A6:32:33:AA:47,2020-07-07 17:34:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
191,DC:A6:32:33:AA:47,2020-07-07 17:34:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
192,DC:A6:32:33:AA:47,2020-07-07 17:34:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
193,DC:A6:32:33:AA:47,2020-07-07 17:34:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
194,DC:A6:32:33:AA:47,2020-07-07 17:34:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
195,DC:A6:32:33:AA:47,2020-07-07 17:34:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
196,DC:A6:32:33:AA:47,2020-07-07 17:34:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
197,DC:A6:32:33:AA:47,2020-07-07 17:34:50,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
198,DC:A6:32:33:AA:47,2020-07-07 17:34:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
199,DC:A6:32:33:AA:47,2020-07-07 17:34:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
200,DC:A6:32:33:AA:47,2020-07-07 17:34:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
201,DC:A6:32:33:AA:47,2020-07-07 17:34:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
202,DC:A6:32:33:AA:47,2020-07-07 17:34:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
203,DC:A6:32:33:AA:47,2020-07-07 17:34:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
204,DC:A6:32:33:AA:47,2020-07-07 17:34:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
205,DC:A6:32:33:AA:47,2020-07-07 17:35:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
206,DC:A6:32:33:AA:47,2020-07-07 17:35:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
207,DC:A6:32:33:AA:47,2020-07-07 17:35:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
208,DC:A6:32:33:AA:47,2020-07-07 17:35:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
209,DC:A6:32:33:AA:47,2020-07-07 17:35:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
210,DC:A6:32:33:AA:47,2020-07-07 17:35:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
211,DC:A6:32:33:AA:47,2020-07-07 17:35:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
212,DC:A6:32:33:AA:47,2020-07-07 17:35:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
213,DC:A6:32:33:AA:47,2020-07-07 17:35:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
214,DC:A6:32:33:AA:47,2020-07-07 17:35:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
