SCAN,2ft_5,2ft_4,2ft_3,2ft_2,2ft_1,Avg,Cum Sum
305,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.06906605441
306,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0003981071706,0.0002553944056,0.06932144881
307,0.0003981071706,0.0001584893192,0.0001258925412,0.0001258925412,0.0003981071706,0.0002412977486,0.06956274656
308,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0002074708353,0.0697702174
309,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0001258925412,0.0002760104182,0.07004622781
310,0.0001258925412,0.0001258925412,0.0005011872336,0.0001584893192,0.0005011872336,0.0002825297738,0.07032875759
311,0.0001584893192,0.0005011872336,0.0005011872336,0.0005011872336,0.0001,0.000352410204,0.07068116779
312,0.0001258925412,0.0005011872336,0.0003981071706,0.0001258925412,0.0005011872336,0.000330453344,0.07101162114
313,0.0001584893192,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0002825297738,0.07129415091
314,0.0001258925412,0.0005011872336,0.0003981071706,0.0001258925412,0.0001258925412,0.0002553944056,0.07154954532
315,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0005011872336,0.0002760104182,0.07182555573
316,0.0005011872336,0.0001258925412,0.0001584893192,0.0001258925412,0.0005011872336,0.0002825297738,0.07210808551
317,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0002760104182,0.07238409593
318,0.0005011872336,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0002825297738,0.0726666257
319,0.0001258925412,0.0001258925412,0.0003981071706,0.0001258925412,0.0001584893192,0.0001868548227,0.07285348052
320,0.0001258925412,0.0001258925412,0.0001258925412,0.0001584893192,0.0001584893192,0.0001389312524,0.07299241177
321,0.0001258925412,0.0001258925412,0.0005011872336,0.0001258925412,0.0001584893192,0.0002074708353,0.07319988261
322,0.0001258925412,0.0005011872336,0.0003981071706,0.0005011872336,0.0001258925412,0.000330453344,0.07353033595
323,0.0005011872336,0.0005011872336,0.0001584893192,0.0001258925412,0.0005011872336,0.0003575887122,0.07388792467
324,0.0005011872336,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0002074708353,0.0740953955
325,0.0005011872336,0.0001258925412,0.0005011872336,0.0001584893192,0.0001584893192,0.0002890491294,0.07438444463
326,0.0001584893192,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0002139901909,0.07459843482
327,0.0001584893192,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0002139901909,0.07481242501
328,0.0001258925412,0.0005011872336,0.0003981071706,0.0001258925412,0.0003981071706,0.0003098373314,0.07512226234
329,0.0001258925412,0.0001258925412,0.0003981071706,0.0005011872336,0.0005011872336,0.000330453344,0.07545271569
330,0.0001258925412,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0002009514797,0.07565366717
331,0.0003981071706,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.000330453344,0.07598412051
332,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.07611001305
333,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0002009514797,0.07631096453
334,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0001258925412,0.0002009514797,0.07651191601
335,0.0001584893192,0.0001258925412,0.0001258925412,0.0001258925412,0.0003981071706,0.0001868548227,0.07669877083
336,0.0005011872336,0.0005011872336,0.0005011872336,0.0005011872336,0.0001258925412,0.0004261282951,0.07712489913
337,0.0003981071706,0.0005011872336,0.0001258925412,0.0003981071706,0.0001584893192,0.000316356687,0.07744125582
338,0.0001584893192,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0002825297738,0.07772378559
339,0.0003981071706,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001803354671,0.07790412106
340,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0002074708353,0.07811159189
341,0.0001584893192,0.0005011872336,0.0001258925412,0.0001584893192,0.0005011872336,0.0002890491294,0.07840064102
342,0.0005011872336,0.0005011872336,0.0005011872336,0.0001584893192,0.0001258925412,0.0003575887122,0.07875822973
343,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0005011872336,0.0002760104182,0.07903424015
344,0.0001584893192,0.0001258925412,0.0001258925412,0.0001584893192,0.0001258925412,0.0001389312524,0.07917317141
345,0.0001584893192,0.0003981071706,0.0001258925412,0.0001258925412,0.0001258925412,0.0001868548227,0.07936002623
346,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.0001258925412,0.07948591877
347,0.0001258925412,0.0005011872336,0.0001258925412,0.0001258925412,0.0001584893192,0.0002074708353,0.0796933896
348,0.0001584893192,0.0003981071706,0.0001258925412,0.0001258925412,0.0001584893192,0.0001933741783,0.07988676378
