SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW ),Total Sum
169,DC:A6:32:33:AA:47,2020-07-07 18:05:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
170,DC:A6:32:33:AA:47,2020-07-07 18:05:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
171,DC:A6:32:33:AA:47,2020-07-07 18:05:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
172,DC:A6:32:33:AA:47,2020-07-07 18:05:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
173,DC:A6:32:33:AA:47,2020-07-07 18:05:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
174,DC:A6:32:33:AA:47,2020-07-07 18:05:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
175,DC:A6:32:33:AA:47,2020-07-07 18:05:42,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
176,DC:A6:32:33:AA:47,2020-07-07 18:05:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
177,DC:A6:32:33:AA:47,2020-07-07 18:05:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
178,DC:A6:32:33:AA:47,2020-07-07 18:05:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
179,DC:A6:32:33:AA:47,2020-07-07 18:05:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
180,DC:A6:32:33:AA:47,2020-07-07 18:05:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
181,DC:A6:32:33:AA:47,2020-07-07 18:05:48,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
182,DC:A6:32:33:AA:47,2020-07-07 18:05:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
183,DC:A6:32:33:AA:47,2020-07-07 18:05:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
184,DC:A6:32:33:AA:47,2020-07-07 18:05:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
185,DC:A6:32:33:AA:47,2020-07-07 18:05:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
186,DC:A6:32:33:AA:47,2020-07-07 18:05:55,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
187,DC:A6:32:33:AA:47,2020-07-07 18:05:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
188,DC:A6:32:33:AA:47,2020-07-07 18:05:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
189,DC:A6:32:33:AA:47,2020-07-07 18:05:59,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
190,DC:A6:32:33:AA:47,2020-07-07 18:06:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
191,DC:A6:32:33:AA:47,2020-07-07 18:06:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
192,DC:A6:32:33:AA:47,2020-07-07 18:06:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
193,DC:A6:32:33:AA:47,2020-07-07 18:06:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
194,DC:A6:32:33:AA:47,2020-07-07 18:06:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
195,DC:A6:32:33:AA:47,2020-07-07 18:06:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
196,DC:A6:32:33:AA:47,2020-07-07 18:06:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
197,DC:A6:32:33:AA:47,2020-07-07 18:06:09,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
198,DC:A6:32:33:AA:47,2020-07-07 18:06:11,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
199,DC:A6:32:33:AA:47,2020-07-07 18:06:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-54,0.000003981071706,
200,DC:A6:32:33:AA:47,2020-07-07 18:06:13,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
201,DC:A6:32:33:AA:47,2020-07-07 18:06:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
202,DC:A6:32:33:AA:47,2020-07-07 18:06:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
