SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power (mW),Total Sum
317,DC:A6:32:33:AA:47,2020-07-07 17:09:59,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
318,DC:A6:32:33:AA:47,2020-07-07 17:10:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
319,DC:A6:32:33:AA:47,2020-07-07 17:10:01,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
320,DC:A6:32:33:AA:47,2020-07-07 17:10:02,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
321,DC:A6:32:33:AA:47,2020-07-07 17:10:03,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
322,DC:A6:32:33:AA:47,2020-07-07 17:10:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
323,DC:A6:32:33:AA:47,2020-07-07 17:10:06,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
324,DC:A6:32:33:AA:47,2020-07-07 17:10:06,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
325,DC:A6:32:33:AA:47,2020-07-07 17:10:08,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
326,DC:A6:32:33:AA:47,2020-07-07 17:10:09,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
327,DC:A6:32:33:AA:47,2020-07-07 17:10:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
328,DC:A6:32:33:AA:47,2020-07-07 17:10:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
329,DC:A6:32:33:AA:47,2020-07-07 17:10:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
330,DC:A6:32:33:AA:47,2020-07-07 17:10:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
331,DC:A6:32:33:AA:47,2020-07-07 17:10:15,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
332,DC:A6:32:33:AA:47,2020-07-07 17:10:16,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
333,DC:A6:32:33:AA:47,2020-07-07 17:10:18,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
334,DC:A6:32:33:AA:47,2020-07-07 17:10:18,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
335,DC:A6:32:33:AA:47,2020-07-07 17:10:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
336,DC:A6:32:33:AA:47,2020-07-07 17:10:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
337,DC:A6:32:33:AA:47,2020-07-07 17:10:21,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
338,DC:A6:32:33:AA:47,2020-07-07 17:10:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
339,DC:A6:32:33:AA:47,2020-07-07 17:10:24,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
340,DC:A6:32:33:AA:47,2020-07-07 17:10:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
341,DC:A6:32:33:AA:47,2020-07-07 17:10:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
342,DC:A6:32:33:AA:47,2020-07-07 17:10:28,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
343,DC:A6:32:33:AA:47,2020-07-07 17:10:28,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
344,DC:A6:32:33:AA:47,2020-07-07 17:10:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
345,DC:A6:32:33:AA:47,2020-07-07 17:10:31,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
346,DC:A6:32:33:AA:47,2020-07-07 17:10:32,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
347,DC:A6:32:33:AA:47,2020-07-07 17:10:33,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
348,DC:A6:32:33:AA:47,2020-07-07 17:10:34,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
349,DC:A6:32:33:AA:47,2020-07-07 17:10:35,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
350,DC:A6:32:33:AA:47,2020-07-07 17:10:37,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
351,DC:A6:32:33:AA:47,2020-07-07 17:10:38,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
352,DC:A6:32:33:AA:47,2020-07-07 17:10:39,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
353,DC:A6:32:33:AA:47,2020-07-07 17:10:40,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
354,DC:A6:32:33:AA:47,2020-07-07 17:10:42,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
355,DC:A6:32:33:AA:47,2020-07-07 17:10:44,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
356,DC:A6:32:33:AA:47,2020-07-07 17:10:46,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
357,DC:A6:32:33:AA:47,2020-07-07 17:10:48,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
358,DC:A6:32:33:AA:47,2020-07-07 17:10:50,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
359,DC:A6:32:33:AA:47,2020-07-07 17:10:51,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
360,DC:A6:32:33:AA:47,2020-07-07 17:10:52,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
361,DC:A6:32:33:AA:47,2020-07-07 17:10:53,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
362,DC:A6:32:33:AA:47,2020-07-07 17:10:55,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
363,DC:A6:32:33:AA:47,2020-07-07 17:10:56,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
364,DC:A6:32:33:AA:47,2020-07-07 17:10:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
365,DC:A6:32:33:AA:47,2020-07-07 17:11:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
366,DC:A6:32:33:AA:47,2020-07-07 17:11:02,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
367,DC:A6:32:33:AA:47,2020-07-07 17:11:04,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-56,0.000002511886432,
368,DC:A6:32:33:AA:47,2020-07-07 17:11:06,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
369,DC:A6:32:33:AA:47,2020-07-07 17:11:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
370,DC:A6:32:33:AA:47,2020-07-07 17:11:08,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
371,DC:A6:32:33:AA:47,2020-07-07 17:11:10,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
372,DC:A6:32:33:AA:47,2020-07-07 17:11:11,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
373,DC:A6:32:33:AA:47,2020-07-07 17:11:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
374,DC:A6:32:33:AA:47,2020-07-07 17:11:15,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
375,DC:A6:32:33:AA:47,2020-07-07 17:11:17,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
376,DC:A6:32:33:AA:47,2020-07-07 17:11:19,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
377,DC:A6:32:33:AA:47,2020-07-07 17:11:20,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
378,DC:A6:32:33:AA:47,2020-07-07 17:11:21,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
379,DC:A6:32:33:AA:47,2020-07-07 17:11:22,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
380,DC:A6:32:33:AA:47,2020-07-07 17:11:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
381,DC:A6:32:33:AA:47,2020-07-07 17:11:24,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
382,DC:A6:32:33:AA:47,2020-07-07 17:11:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
383,DC:A6:32:33:AA:47,2020-07-07 17:11:26,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
384,DC:A6:32:33:AA:47,2020-07-07 17:11:28,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
385,DC:A6:32:33:AA:47,2020-07-07 17:11:30,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
386,DC:A6:32:33:AA:47,2020-07-07 17:11:32,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
387,DC:A6:32:33:AA:47,2020-07-07 17:11:34,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-52,0.000006309573445,
388,DC:A6:32:33:AA:47,2020-07-07 17:11:36,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
389,DC:A6:32:33:AA:47,2020-07-07 17:11:38,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
390,DC:A6:32:33:AA:47,2020-07-07 17:11:39,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
391,DC:A6:32:33:AA:47,2020-07-07 17:11:41,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
392,DC:A6:32:33:AA:47,2020-07-07 17:11:41,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
393,DC:A6:32:33:AA:47,2020-07-07 17:11:42,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
394,DC:A6:32:33:AA:47,2020-07-07 17:11:44,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
395,DC:A6:32:33:AA:47,2020-07-07 17:11:46,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
396,DC:A6:32:33:AA:47,2020-07-07 17:11:48,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
397,DC:A6:32:33:AA:47,2020-07-07 17:11:50,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
398,DC:A6:32:33:AA:47,2020-07-07 17:11:51,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
399,DC:A6:32:33:AA:47,2020-07-07 17:11:53,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
400,DC:A6:32:33:AA:47,2020-07-07 17:11:54,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
401,DC:A6:32:33:AA:47,2020-07-07 17:11:55,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
402,DC:A6:32:33:AA:47,2020-07-07 17:11:57,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
403,DC:A6:32:33:AA:47,2020-07-07 17:11:58,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
404,DC:A6:32:33:AA:47,2020-07-07 17:11:59,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-57,0.000001995262315,
405,DC:A6:32:33:AA:47,2020-07-07 17:12:00,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
406,DC:A6:32:33:AA:47,2020-07-07 17:12:01,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
407,DC:A6:32:33:AA:47,2020-07-07 17:12:02,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
408,DC:A6:32:33:AA:47,2020-07-07 17:12:03,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
409,DC:A6:32:33:AA:47,2020-07-07 17:12:05,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
410,DC:A6:32:33:AA:47,2020-07-07 17:12:07,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
411,DC:A6:32:33:AA:47,2020-07-07 17:12:08,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
412,DC:A6:32:33:AA:47,2020-07-07 17:12:09,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
413,DC:A6:32:33:AA:47,2020-07-07 17:12:10,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
414,DC:A6:32:33:AA:47,2020-07-07 17:12:12,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
415,DC:A6:32:33:AA:47,2020-07-07 17:12:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
416,DC:A6:32:33:AA:47,2020-07-07 17:12:13,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-58,0.000001584893192,
417,DC:A6:32:33:AA:47,2020-07-07 17:12:15,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
418,DC:A6:32:33:AA:47,2020-07-07 17:12:17,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-50,0.00001,
419,DC:A6:32:33:AA:47,2020-07-07 17:12:19,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
420,DC:A6:32:33:AA:47,2020-07-07 17:12:21,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
421,DC:A6:32:33:AA:47,2020-07-07 17:12:23,5eaf8cc8-c0ae-11ea-898e-dca63233aa46,1,1,1,-51,0.000007943282347,
