SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,POWER ( mW),Sum
281,DC:A6:32:33:AA:47,2020-07-07 17:23:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
282,DC:A6:32:33:AA:47,2020-07-07 17:23:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
283,DC:A6:32:33:AA:47,2020-07-07 17:23:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
284,DC:A6:32:33:AA:47,2020-07-07 17:23:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
285,DC:A6:32:33:AA:47,2020-07-07 17:23:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
286,DC:A6:32:33:AA:47,2020-07-07 17:23:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
287,DC:A6:32:33:AA:47,2020-07-07 17:23:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
288,DC:A6:32:33:AA:47,2020-07-07 17:23:44,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
289,DC:A6:32:33:AA:47,2020-07-07 17:23:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
290,DC:A6:32:33:AA:47,2020-07-07 17:23:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
291,DC:A6:32:33:AA:47,2020-07-07 17:23:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
292,DC:A6:32:33:AA:47,2020-07-07 17:23:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
293,DC:A6:32:33:AA:47,2020-07-07 17:23:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
294,DC:A6:32:33:AA:47,2020-07-07 17:23:52,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
295,DC:A6:32:33:AA:47,2020-07-07 17:23:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-59,0.000001258925412,
296,DC:A6:32:33:AA:47,2020-07-07 17:23:56,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
297,DC:A6:32:33:AA:47,2020-07-07 17:23:57,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
298,DC:A6:32:33:AA:47,2020-07-07 17:23:58,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
299,DC:A6:32:33:AA:47,2020-07-07 17:24:00,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
300,DC:A6:32:33:AA:47,2020-07-07 17:24:01,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
301,DC:A6:32:33:AA:47,2020-07-07 17:24:02,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
302,DC:A6:32:33:AA:47,2020-07-07 17:24:03,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
303,DC:A6:32:33:AA:47,2020-07-07 17:24:04,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
304,DC:A6:32:33:AA:47,2020-07-07 17:24:05,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
305,DC:A6:32:33:AA:47,2020-07-07 17:24:06,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
306,DC:A6:32:33:AA:47,2020-07-07 17:24:07,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
307,DC:A6:32:33:AA:47,2020-07-07 17:24:08,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
308,DC:A6:32:33:AA:47,2020-07-07 17:24:10,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
309,DC:A6:32:33:AA:47,2020-07-07 17:24:12,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
310,DC:A6:32:33:AA:47,2020-07-07 17:24:14,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
311,DC:A6:32:33:AA:47,2020-07-07 17:24:15,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
312,DC:A6:32:33:AA:47,2020-07-07 17:24:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
313,DC:A6:32:33:AA:47,2020-07-07 17:24:17,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
314,DC:A6:32:33:AA:47,2020-07-07 17:24:18,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
315,DC:A6:32:33:AA:47,2020-07-07 17:24:19,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
316,DC:A6:32:33:AA:47,2020-07-07 17:24:21,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
317,DC:A6:32:33:AA:47,2020-07-07 17:24:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
318,DC:A6:32:33:AA:47,2020-07-07 17:24:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
319,DC:A6:32:33:AA:47,2020-07-07 17:24:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
320,DC:A6:32:33:AA:47,2020-07-07 17:24:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
321,DC:A6:32:33:AA:47,2020-07-07 17:24:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
322,DC:A6:32:33:AA:47,2020-07-07 17:24:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
323,DC:A6:32:33:AA:47,2020-07-07 17:24:33,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
324,DC:A6:32:33:AA:47,2020-07-07 17:24:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
325,DC:A6:32:33:AA:47,2020-07-07 17:24:36,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
326,DC:A6:32:33:AA:47,2020-07-07 17:24:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
327,DC:A6:32:33:AA:47,2020-07-07 17:24:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
328,DC:A6:32:33:AA:47,2020-07-07 17:24:40,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
329,DC:A6:32:33:AA:47,2020-07-07 17:24:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
330,DC:A6:32:33:AA:47,2020-07-07 17:24:43,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
331,DC:A6:32:33:AA:47,2020-07-07 17:24:45,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
332,DC:A6:32:33:AA:47,2020-07-07 17:24:46,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
333,DC:A6:32:33:AA:47,2020-07-07 17:24:47,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
334,DC:A6:32:33:AA:47,2020-07-07 17:24:49,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
335,DC:A6:32:33:AA:47,2020-07-07 17:24:51,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
336,DC:A6:32:33:AA:47,2020-07-07 17:24:53,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-55,0.00000316227766,
337,DC:A6:32:33:AA:47,2020-07-07 17:24:54,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
