SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,Power ( mW),Total Sum
304,DC:A6:32:33:AA:47,2020-07-07 17:47:22,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-57,0.000001995262315,
305,DC:A6:32:33:AA:47,2020-07-07 17:47:24,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
306,DC:A6:32:33:AA:47,2020-07-07 17:47:25,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-58,0.000001584893192,
307,DC:A6:32:33:AA:47,2020-07-07 17:47:27,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
308,DC:A6:32:33:AA:47,2020-07-07 17:47:29,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
309,DC:A6:32:33:AA:47,2020-07-07 17:47:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
310,DC:A6:32:33:AA:47,2020-07-07 17:47:31,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-53,0.000005011872336,
311,DC:A6:32:33:AA:47,2020-07-07 17:47:32,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
312,DC:A6:32:33:AA:47,2020-07-07 17:47:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-50,0.00001,
313,DC:A6:32:33:AA:47,2020-07-07 17:47:34,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
314,DC:A6:32:33:AA:47,2020-07-07 17:47:35,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
315,DC:A6:32:33:AA:47,2020-07-07 17:47:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-51,0.000007943282347,
316,DC:A6:32:33:AA:47,2020-07-07 17:47:37,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
317,DC:A6:32:33:AA:47,2020-07-07 17:47:38,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
318,DC:A6:32:33:AA:47,2020-07-07 17:47:39,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-56,0.000002511886432,
319,DC:A6:32:33:AA:47,2020-07-07 17:47:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
320,DC:A6:32:33:AA:47,2020-07-07 17:47:41,60e18ef4-c0b0-11ea-a891-dca63233aa46,1,1,1,-52,0.000006309573445,
